Date,現金給与総額,実質賃金,所定外労働時間
1990-01,266896,92.7,12.3
1990-02,245574,85.3,13.1
1990-03,269357,93.0,13.8
1990-04,256376,87.7,13.8
1990-05,254675,86.5,12.8
1990-06,439984,150.3,13.0
1990-07,429216,146.7,12.9
1990-08,287749,97.9,12.1
1990-09,255467,86.3,12.6
1990-10,256918,86.0,13.2
1990-11,266280,89.1,13.5
1990-12,710906,238.1,13.6
1991-01,273545,90.7,12.1
1991-02,259483,86.3,12.8
1991-03,284322,94.0,13.1
1991-04,268885,88.4,13.2
1991-05,266286,87.1,12.1
1991-06,463580,152.3,12.3
1991-07,450299,148.2,12.1
1991-08,308591,101.5,11.3
1991-09,267015,87.5,11.7
1991-10,267877,86.9,12.2
1991-11,278824,90.1,12.4
1991-12,745242,242.1,12.2
1992-01,287208,93.7,10.5
1992-02,267686,87.3,11.1
1992-03,293590,95.1,11.4
1992-04,275950,88.6,11.3
1992-05,274009,87.9,10.3
1992-06,476935,153.4,10.5
1992-07,465478,151.0,10.2
1992-08,310529,100.4,9.6
1992-09,271906,87.2,10.0
1992-10,273095,87.6,10.3
1992-11,282816,91.0,10.3
1992-12,739852,238.2,10.3
1993-01,287954,92.9,9.4
1993-02,271326,87.4,9.9
1993-03,294670,94.4,10.2
1993-04,279068,89.0,10.1
1993-05,276457,88.1,9.3
1993-06,476234,151.8,9.5
1993-07,459347,146.1,9.4
1993-08,314236,99.8,8.9
1993-09,275709,87.5,9.2
1993-10,275917,87.6,9.5
1993-11,288315,92.0,9.5
1993-12,728327,232.2,9.6
1994-01,297204,94.5,8.7
1994-02,275157,87.8,9.2
1994-03,298244,94.5,9.8
1994-04,285053,90.2,9.8
1994-05,281005,89.0,9.1
1994-06,509535,161.8,9.4
1994-07,444765,141.7,9.2
1994-08,313193,99.6,8.8
1994-09,282008,89.4,9.3
1994-10,282404,89.1,9.7
1994-11,294394,93.0,10.0
1994-12,733487,232.9,10.2
1995-01,302124,95.8,9.0
1995-02,281719,89.7,9.7
1995-03,304309,97.0,10.1
1995-04,289488,91.7,10.2
1995-05,284835,90.2,9.3
1995-06,504010,159.8,9.4
1995-07,457000,145.8,9.4
1995-08,315468,100.5,9.0
1995-09,286751,90.7,9.4
1995-10,286301,90.9,9.7
1995-11,297142,94.6,10.0
1995-12,737631,235.0,10.2
1996-01,301253,96.5,9.2
1996-02,285518,91.5,10.1
1996-03,308502,98.8,10.7
1996-04,293331,93.2,10.6
1996-05,288868,91.5,9.7
1996-06,506348,161.2,10.0
1996-07,457856,145.9,10.1
1996-08,325910,104.0,9.7
1996-09,289338,91.9,10.1
1996-10,289996,91.9,10.5
1996-11,303117,96.6,10.8
1996-12,735274,233.9,10.9
1997-01,321407,102.4,9.7
1997-02,290491,92.6,10.5
1997-03,313201,100.0,11.0
1997-04,298855,93.2,11.2
1997-05,293869,91.4,10.0
1997-06,510888,159.1,10.2
1997-07,468105,146.5,10.3
1997-08,329226,102.7,9.8
1997-09,292266,90.6,10.1
1997-10,293927,90.7,10.4
1997-11,303287,94.6,10.5
1997-12,740159,231.2,10.5
1998-01,318954,99.7,9.4
1998-02,290174,90.7,9.9
1998-03,315101,98.3,10.2
1998-04,296867,92.3,10.1
1998-05,291509,90.3,9.2
1998-06,509335,158.6,9.2
1998-07,456368,143.2,9.4
1998-08,321476,100.9,9.0
1998-09,290052,90.2,9.2
1998-10,293306,90.5,9.6
1998-11,303704,93.9,9.6
1998-12,709384,220.3,9.9
1999-01,301076,96.2,8.9
1999-02,281878,90.2,9.4
1999-03,306815,98.1,9.8
1999-04,290092,92.3,9.8
1999-05,284624,90.6,9.1
1999-06,481425,153.6,9.1
1999-07,436890,139.9,9.3
1999-08,312851,100.0,9.1
1999-09,285460,90.7,9.4
1999-10,286778,90.9,9.7
1999-11,297180,95.0,10.0
1999-12,677702,217.3,10.1
2000-01,305282,98.1,9.2
2000-02,285265,91.6,9.6
2000-03,304792,97.9,10.3
2000-04,291911,93.4,10.2
2000-05,286992,91.5,9.4
2000-06,490031,157.5,9.5
2000-07,434993,139.7,9.7
2000-08,315901,101.1,9.4
2000-09,288119,92.1,9.8
2000-10,289467,92.6,10.0
2000-11,299197,96.1,10.3
2000-12,671716,215.8,10.4
2001-01,309009,99.1,9.4
2001-02,283682,91.3,9.7
2001-03,303630,98.0,10.2
2001-04,292007,93.9,9.9
2001-05,286430,91.8,9.2
2001-06,485588,157.0,9.2
2001-07,432637,139.7,9.2
2001-08,309359,99.4,8.9
2001-09,284368,91.7,9.0
2001-10,285861,91.9,9.2
2001-11,295277,95.7,9.3
2001-12,646884,210.0,9.4
2002-01,296948,96.2,8.9
2002-02,280942,91.4,9.3
2002-03,301921,98.1,9.8
2002-04,287474,92.8,9.8
2002-05,280688,90.5,9.1
2002-06,470269,151.9,9.2
2002-07,409738,132.8,9.4
2002-08,300528,97.1,9.3
2002-09,281456,90.9,9.6
2002-10,284708,92.0,9.8
2002-11,293524,94.7,10.1
2002-12,630414,204.0,10.2
2003-01,294098,95.4,9.5
2003-02,280735,91.6,9.9
2003-03,298682,96.9,10.4
2003-04,285476,92.1,10.2
2003-05,282440,90.9,9.6
2003-06,481998,155.7,9.6
2003-07,401724,130.3,9.8
2003-08,295611,95.3,9.6
2003-09,282244,91.0,9.9
2003-10,284128,91.5,10.3
2003-11,293200,94.7,10.5
2003-12,621143,201.1,10.7
2004-01,284232,94.3,9.9
2004-02,275200,91.2,10.3
2004-03,285419,94.6,10.8
2004-04,280930,93.0,10.6
2004-05,275646,91.1,9.9
2004-06,464641,153.2,10.0
2004-07,392179,129.8,10.2
2004-08,290128,95.9,9.9
2004-09,275243,90.5,10.1
2004-10,276753,90.5,10.3
2004-11,292407,95.9,10.7
2004-12,605850,199.7,10.8
2005-01,285128,94.5,10.1
2005-02,275500,91.6,10.3
2005-03,284577,94.2,10.6
2005-04,282613,93.5,10.8
2005-05,277466,91.5,10.0
2005-06,471584,156.6,10.2
2005-07,396907,132.0,10.3
2005-08,287152,95.3,10.0
2005-09,277407,91.7,10.2
2005-10,278749,92.2,10.5
2005-11,293186,97.3,10.7
2005-12,615713,204.6,11.1
2006-01,284683,94.3,10.3
2006-02,277019,92.2,10.5
2006-03,285536,94.9,10.9
2006-04,283649,93.9,11.1
2006-05,278854,91.9,10.3
2006-06,476216,156.9,10.5
2006-07,398904,131.9,10.6
2006-08,285980,94.0,10.3
2006-09,277403,91.0,10.5
2006-10,278708,91.5,10.8
2006-11,293493,97.0,11.1
2006-12,615210,203.5,11.2
2007-01,278161,93.2,10.6
2007-02,271453,91.3,10.9
2007-03,282441,94.7,11.4
2007-04,279919,93.5,11.5
2007-05,275754,91.6,10.6
2007-06,467151,155.6,10.8
2007-07,387627,129.3,10.8
2007-08,284836,94.4,10.5
2007-09,273443,90.5,10.9
2007-10,275718,91.0,11.1
2007-11,290972,96.1,11.3
2007-12,598701,197.4,11.4
2008-01,282490,93.2,10.5
2008-02,275250,90.9,11.1
2008-03,286442,94.3,11.6
2008-04,282186,92.7,11.4
2008-05,278025,90.5,10.6
2008-06,469667,152.1,10.5
2008-07,388276,125.3,10.8
2008-08,285117,91.7,10.2
2008-09,274097,88.0,10.5
2008-10,275956,88.7,10.6
2008-11,289140,93.8,10.5
2008-12,593521,193.6,10.1
2009-01,273607,90.9,9.1
2009-02,267042,88.9,8.8
2009-03,274022,91.0,9.1
2009-04,272584,90.4,9.3
2009-05,269504,89.5,8.7
2009-06,432038,143.8,8.8
2009-07,363930,121.6,9.1
2009-08,275019,91.6,8.9
2009-09,266427,88.7,9.2
2009-10,268073,89.7,9.7
2009-11,279246,93.7,9.8
2009-12,552252,185.5,10.0
2010-01,272807,91.5,9.5
2010-02,264963,88.8,9.8
2010-03,276884,92.5,10.3
2010-04,277859,92.9,10.4
2010-05,269503,90.1,9.7
2010-06,440686,147.9,9.7
2010-07,369074,124.6,10.1
2010-08,275740,92.8,9.8
2010-09,268689,90.3,10.0
2010-10,269458,90.2,10.2
2010-11,279798,94.0,10.4
2010-12,552294,186.1,10.6
2011-01,273920,92.5,9.8
2011-02,265709,89.7,10.1
2011-03,276499,93.0,10.3
2011-04,273037,91.7,10.0
2011-05,272486,91.4,9.4
2011-06,437660,147.2,9.7
2011-07,368319,123.8,10.0
2011-08,274671,92.3,9.6
2011-09,267647,89.9,10.0
2011-10,269368,90.4,10.4
2011-11,279054,94.2,10.4
2011-12,552881,186.7,10.7
2012-01,270525,91.2,10.1
2012-02,265527,89.3,10.5
2012-03,278489,93.1,10.9
2012-04,273431,91.3,10.8
2012-05,268657,90.0,10.2
2012-06,435126,146.5,10.1
2012-07,361869,122.2,10.2
2012-08,274711,92.6,9.9
2012-09,266361,89.5,10.1
2012-10,268283,90.1,10.4
2012-11,275917,93.1,10.6
2012-12,542992,182.9,10.8
2013-01,271126,91.3,10.0
2013-02,263562,88.9,10.3
2013-03,276145,92.7,10.7
2013-04,273746,91.6,10.9
2013-05,268989,89.8,10.3
2013-06,438851,146.6,10.3
2013-07,362127,120.6,10.6
2013-08,272904,90.5,10.3
2013-09,266137,87.9,10.6
2013-10,268390,88.5,10.9
2013-11,277977,91.6,11.2
2013-12,549279,180.6,11.4
2014-01,270919,89.2,10.6
2014-02,263702,86.8,10.9
2014-03,278691,91.4,11.6
2014-04,276140,88.4,11.7
2014-05,270863,86.3,10.7
2014-06,445199,141.8,10.8
2014-07,372130,118.3,10.9
2014-08,275421,87.4,10.4
2014-09,268406,84.9,10.8
2014-10,269301,85.4,11.1
2014-11,278526,88.7,11.2
2014-12,556880,177.2,11.5
2015-01,270353,87.3,10.8
2015-02,261519,84.7,11.0
2015-03,276098,89.0,11.4
2015-04,275432,88.3,11.5
2015-05,270469,86.5,10.6
2015-06,429864,137.6,10.7
2015-07,370709,119.0,10.9
2015-08,273095,87.6,10.4
2015-09,266076,85.2,10.8
2015-10,267942,85.8,11.1
2015-11,276101,88.7,11.2
2015-12,548404,176.5,11.4
2016-01,270505,87.4,10.5
2016-02,263584,85.1,10.7
2016-03,280119,90.3,11.2
2016-04,275383,88.5,11.3
2016-05,270553,86.9,10.4
2016-06,436508,140.3,10.6
2016-07,375025,120.8,10.7
2016-08,273531,88.1,10.3
2016-09,266357,85.8,10.7
2016-10,268328,85.8,11.0
2016-11,277538,88.7,11.2
2016-12,552607,177.1,11.3
2017-01,271857,87.3,10.6
2017-02,264332,85.0,10.9
2017-03,280249,90.0,11.4
2017-04,276963,88.6,11.4
2017-05,272683,87.2,10.6
2017-06,437830,140.1,10.7
2017-07,373293,119.7,10.8
2017-08,275374,88.0,10.3
2017-09,268935,85.8,10.9
2017-10,269395,85.8,11.1
2017-11,280353,89.0,11.4
2017-12,557226,176.3,11.4
2018-01,273974,86.5,10.4
2018-02,266458,84.2,10.8
2018-03,285150,90.4,11.3
2018-04,277657,88.1,11.3
2018-05,276513,87.7,10.7
2018-06,450147,142.8,10.8
2018-07,378144,119.9,10.6
2018-08,276949,87.2,10.1
2018-09,270599,85.1,10.5
2018-10,272218,85.2,11.0
2018-11,285187,89.6,11.1
2018-12,565789,178.5,10.9
2019-01,272120,85.8,10.2
2019-02,264571,83.4,10.7
2019-03,281346,88.7,10.9
2019-04,276520,86.9,11.1
2019-05,275217,86.5,10.4
2019-06,451442,142.1,10.5
2019-07,374654,118.1,10.5
2019-08,276695,86.8,9.9
2019-09,271893,85.2,10.5
2019-10,272218,85.1,10.8
2019-11,285429,89.2,10.8
2019-12,564630,176.5,10.6
2020-01,275175,86.0,10.0
2020-02,266662,83.5,10.3
2020-03,281554,88.1,10.2
2020-04,274747,86.1,9.0
2020-05,268771,84.2,7.2
2020-06,442704,139.2,8.0
2020-07,368860,115.9,8.8
2020-08,273209,85.7,8.5
2020-09,269329,84.7,9.1
2020-10,270402,85.2,9.6
2020-11,280486,88.6,9.7
2020-12,547696,173.5,9.8
2021-01,271763,85.6,9.2
2021-02,265693,83.8,9.3
2021-03,282898,89.0,10.0
2021-04,278680,88.6,10.1
2021-05,273915,86.8,9.2
2021-06,442821,139.9,9.5
2021-07,371141,117.1,9.8
2021-08,274671,86.6,9.1
2021-09,269932,84.7,9.4
2021-10,271121,85.3,9.8
2021-11,282749,88.7,10.2
2021-12,545609,171.2,10.3
2022-01,274822,86.0,9.6
2022-02,268898,83.8,9.8
2022-03,288709,89.5,10.4
2022-04,282437,87.1,10.7
2022-05,277026,85.2,9.7
2022-06,451763,139.0,10.0
2022-07,376028,115.0,10.2
2022-08,279346,85.1,9.4
2022-09,276113,83.7,10.2
2022-10,275195,82.8,10.5
2022-11,288071,86.5,10.5
2022-12,567916,170.1,10.5
2023-01,276984,82.5,9.7
2023-02,271143,81.4,10.0
2023-03,292546,87.4,10.5
2023-04,284595,84.3,10.5
2023-05,284998,84.4,9.7
2023-06,461811,136.8,10.0
2023-07,380063,111.9,10.0
2023-08,281714,82.7,9.3
2023-09,277700,81.3,9.9
2023-10,279232,80.9,10.3
2023-11,289905,84.3,10.3
2023-12,572315,166.5,10.1
2024-01,287563,83.5,9.6
2024-02,281087,81.7,10.1
2024-03,302060,87.5,10.5
2024-04,295709,85.2,10.5
2024-05,297162,85.3,9.8
2024-06,498887,143.0,10.0
2024-07,403090,115.0,10.1
2024-08,296154,83.9,9.3
2024-09,291712,83.0,9.9
2024-10,292430,82.6,10.4
2024-11,308486,86.7,10.4
2024-12,617375,172.4,10.1
2025-01,292468,81.2,9.5
2025-02,288697,80.5,9.8
2025-03,309059,85.9,10.2
2025-04,301698,83.5,10.2
2025-05,301592,83.1,9.7
2025-06,514106,141.9,9.7
2025-07,416744,114.8,9.8
2025-08,299955,82.5,9.0
2025-09,297787,81.9,9.7
2025-10,299801,81.9,10.2
2025-11,313531,85.3,10.0
2025-12,632196,172.2,9.9
2026-01,299768,81.8,9.5
2026-02,298542,82.1,9.7
2026-03,318563,87.1,10.1
2026-04,312699,85.2,10.3
